Title	Author	Year	Callnum
Analisis kinerja aplikasi amber pada lingkungan komputasi cluster dan graphics processing unit	Aruni Yasmin Azizah	2012	SK-1052
Analisis kualitas layanan pelanggan elektronik dan penggunaan social media monitoring tool dalam mendukung aktifitas layanan pelanggan melalui media social: studi kasus PT XZY	Febrian Shandy Rifano	2012	SK-1040
Analisis kualitas layanan teknologi informasi serta tingkat kematangan tata kelola manajemen insiden dan service desk: studi kasus PT. Asuransi Astra Buana	Fitria Ratna Mutia	2012	SK-1031
Analisis lanjut sistem penilai esai otomatis pada konteks soal subyektif dan obyektif menggunakan korpus multi bahasa dengan metode latent semantic	Jessalyn Alvina	2012	SK-???
Analisis manfaat risiko dan tingkat kematangan pada penyedia layanan cloud computing software-as-a-service: studi komparasi antara penyedia layanan bertipe pure-saas dan mixed-saas	Akhmad Rahadian Hutomo	2012	SK-1021
Analisis masalah sparse data dalam spasial dan temporal clustering : studi kasus pada data permohonan pengaktivasian layanan internet	Christian	2012	SK-1118
Analisis model bisnis pada penyedia layanan cloud computing software-as-service: studi komparasi antara penyedia layanan bertipe pure-saas dan mixed saas	Indra Hardianto	2012	SK-1039
Analisis pencapaian manfaat dan tingkat kematangan terhadap implementasi customer relationship management: studi  kasus pada PT XYZ	Alfira Fitrananda	2012	SK-1033
Analisis penerapan keranga  kerja small to medium entity risk assessment model (SMERAM) dalam melakukan IT Risk Assessment di Bank Perkreditan Rakyat (BPR)	Grafit Dwiananto	2012	SK-1038
Analisis pengaruh budaya organisasi terhadap tingkat kematangan keselarasan strategi teknologi informasi dan bisnis: studi kasus PT. Taspen (PERSERO)	Gayuh Prima Pikarti	2012	SK-989
Analisis pengaruh faktor kepercayaan dan faktor kekhawatiran terhadap persepsi resiko konsumen dalam melakukan transaksi secara online di Indonesia	Hamzah Saifulhaq	2012	SK-1099
Analisis pengaruh kompresi suara menggunakan speex terhadap akurasi hasil pengenalan suara menggunakan sistem pengenal suara otomatis bahasa indonesia	Adriani S. Zenitha	2012	SK-1053
Analisis pengaruh media social terhadap e-commerce	Grinano Ardhi Wibowo	2012	SK-1084
Analisis penggunaan manajemen pengetahuan pelanggan (Customer knowledge management) dalam proses pengembangan produk baru: studi kasus PT. XL Axiata, Tbk	Fehmi Rahmita	2012	SK-1050
Analisis pengukuran kualitas informasi dan tingkat kematangan manajemen kualitas informasi: studi kasus PT. XYZ (Persero)	Nur Fitriah Ayuning Budi	2012	SK-1027
Analisis sentiment produk dan layanan menggunakan social media data pada corporate twitter: studi kasus perusahaan seluler XYZ	Windy Adam	2012	SK-1043
Analisis strategy-driven web based business intelligence menggunakan top-down approach: studi  kasus implementasi business intelligence dashboard pada PT. Rekan Usaha Mikro Anda	Danny Handoko	2012	SK-1066
Analisis tingkat kematangan human-centeredness dalam system development: studi kasus Pusat Ilmu Komputer Universitas Indonesia	Elvira Novellia Chrisanty	2012	SK-992
Analisis tingkat kematangan manajemen risiko TI pada perbankan di Indonesia dengan kerangka kerja RISK IT: studi kasus pada Bank XYZ	Adinda Dwisetyorini	2012	SK-991
Analisis tingkat kematangan serta identifikasi faktor pendukung dan penghambat business intelligence di industri telekomunikasi indonesia: studi kasus PT Bakrie Telekom, Tbk	Adzar Karomy	2012	SK-1100
Analisis tingkat kesuksesan dan factor pendukung penerapan IT outsourcing: studi kasus PT. Bank Bukopin Tbk	Rizqy Puspitasari	2012	SK-1041
Analsis e-readiness pada UMKM di  wilayah Depok dan Bogor	Kamal Hasan	2012	SK-1107
Aplikasi algoritma spasial dan temporal clustering pada data curah hujan	Wawan Setiawan	2012	SK-1071
